ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,BuyLaptop,Cluster
461098,Female,Yes,39,Yes,Engineer,1.0,Low,1.0,No,4
467376,Female,Yes,46,Yes,Doctor,7.0,Average,2.0,Yes,4
464089,Female,Yes,40,Yes,Artist,5.0,High,5.0,Yes,4
464341,Male,No,35,Yes,Artist,2.0,Low,2.0,No,0
460853,Female,No,60,Yes,Artist,3.0,High,2.0,Yes,4
466645,Male,Yes,66,Yes,Lawyer,5.0,Low,2.0,No,3
460883,Male,Yes,73,Yes,Artist,0.0,High,3.0,Yes,1
460329,Male,No,45,Yes,Entertainment,6.0,Low,2.0,No,0
462388,Female,Yes,42,Yes,Artist,0.0,High,4.0,Yes,4
462844,Male,Yes,30,No,Engineer,2.0,Average,3.0,Yes,1
467410,Female,Yes,62,Yes,Lawyer,0.0,Low,2.0,No,3
463319,Female,Yes,73,No,Lawyer,1.0,High,3.0,Yes,3
461243,Male,Yes,49,Yes,Marketing,0.0,Low,5.0,No,1
466769,Female,No,31,Yes,Entertainment,0.0,Low,4.0,No,0
459680,Male,No,41,Yes,Entertainment,,Low,1.0,No,0
467973,Female,Yes,63,Yes,Engineer,2.0,Average,3.0,Yes,4
461954,Female,Yes,35,No,Engineer,2.0,Average,6.0,Yes,4
465092,Male,Yes,65,Yes,Executive,0.0,High,2.0,Yes,3
466959,Male,Yes,25,Yes,Artist,8.0,Low,4.0,No,1
461781,Male,Yes,57,Yes,Artist,0.0,Low,2.0,No,1
464803,Male,No,28,No,Doctor,1.0,Low,1.0,No,0
460169,Female,Yes,80,Yes,Lawyer,3.0,High,1.0,Yes,3
465140,Male,Yes,45,Yes,Executive,5.0,High,3.0,Yes,1
464643,Female,Yes,79,No,Engineer,0.0,High,2.0,Yes,3
460414,Female,No,33,Yes,Healthcare,0.0,Low,1.0,No,0
467001,Female,,53,Yes,Entertainment,8.0,Average,4.0,No,4
462348,Female,Yes,68,Yes,Lawyer,3.0,High,3.0,Yes,3
464011,Male,No,32,Yes,Healthcare,,Low,4.0,No,2
462351,Male,Yes,75,No,Lawyer,3.0,High,3.0,Yes,3
462600,Male,Yes,30,No,Engineer,3.0,Average,3.0,Yes,1
465296,Female,Yes,76,Yes,Lawyer,3.0,High,3.0,Yes,3
467461,Female,Yes,44,Yes,Artist,9.0,High,2.0,Yes,4
462197,Female,Yes,67,No,Engineer,1.0,Average,4.0,Yes,4
467215,Female,Yes,78,No,Lawyer,1.0,High,2.0,Yes,3
459178,Male,Yes,53,Yes,Executive,0.0,High,4.0,Yes,1
460626,Male,Yes,50,No,Doctor,8.0,High,3.0,Yes,1
463357,Male,Yes,27,Yes,Doctor,0.0,Average,2.0,Yes,1
464520,Male,Yes,46,No,Entertainment,8.0,Low,2.0,No,1
461627,Male,Yes,50,Yes,Doctor,1.0,Low,2.0,No,1
466828,Male,No,48,Yes,Executive,2.0,High,3.0,Yes,1
459042,Female,Yes,40,Yes,Engineer,0.0,Average,4.0,Yes,4
463678,Female,No,32,No,Healthcare,1.0,Low,5.0,No,2
462054,Male,No,25,Yes,Healthcare,0.0,Low,,No,2
464901,Male,Yes,78,No,Executive,3.0,High,5.0,Yes,3
465833,Male,Yes,42,No,Executive,1.0,High,3.0,Yes,1
462384,Female,No,29,Yes,Healthcare,,Low,1.0,No,0
466925,Male,No,19,No,Healthcare,7.0,Low,2.0,No,2
459920,Female,Yes,51,Yes,Artist,6.0,High,2.0,Yes,4
459210,Female,Yes,68,Yes,Artist,1.0,High,2.0,Yes,4
460683,Male,Yes,59,No,Entertainment,6.0,Average,3.0,No,1
460403,Female,No,56,Yes,Doctor,3.0,Low,1.0,No,0
463996,Female,No,29,No,Healthcare,,Low,5.0,No,2
459489,Male,Yes,46,Yes,Doctor,1.0,Average,4.0,Yes,1
467673,Male,No,53,No,Executive,0.0,High,4.0,Yes,2
461860,Female,Yes,80,No,Lawyer,1.0,High,1.0,Yes,3
466386,Male,Yes,65,Yes,Executive,1.0,Low,2.0,No,1
463612,Female,Yes,52,Yes,Engineer,0.0,High,4.0,Yes,4
460604,Female,No,43,No,Entertainment,7.0,High,1.0,Yes,0
465867,Female,Yes,35,Yes,Artist,8.0,High,5.0,Yes,4
467885,Female,No,43,Yes,Doctor,0.0,Low,,No,0
464797,Female,Yes,35,No,Engineer,8.0,Average,4.0,Yes,4
460600,Female,No,41,Yes,Artist,2.0,Low,,No,0
463383,Male,Yes,41,No,Executive,6.0,High,3.0,Yes,1
467147,Male,No,45,Yes,Entertainment,0.0,Low,1.0,No,0
459810,Male,No,19,No,Healthcare,1.0,Low,4.0,No,2
462134,Male,Yes,88,No,Lawyer,1.0,Low,1.0,No,3
461877,Female,No,38,Yes,Artist,7.0,Low,2.0,No,0
459285,Male,No,76,Yes,Lawyer,0.0,Low,2.0,No,3
459161,Male,Yes,51,Yes,Executive,3.0,High,5.0,Yes,1
466828,Male,Yes,47,No,Executive,0.0,High,3.0,Yes,1
461383,Male,Yes,67,Yes,Artist,2.0,High,1.0,Yes,1
460598,Female,Yes,35,Yes,Doctor,0.0,Average,3.0,Yes,4
460769,Female,Yes,76,No,Lawyer,1.0,High,2.0,Yes,3
466333,Female,Yes,41,Yes,Artist,1.0,Average,2.0,No,4
461933,Male,No,18,No,Doctor,0.0,Low,2.0,No,2
466520,Male,,62,,Engineer,4.0,Average,2.0,Yes,1
459838,Female,Yes,80,No,Lawyer,0.0,High,1.0,Yes,3
466563,Female,No,20,No,Marketing,,Low,4.0,No,2
467952,Male,Yes,80,Yes,Lawyer,0.0,High,3.0,Yes,3
461497,Male,No,29,No,Doctor,5.0,Low,5.0,No,2
466243,Female,Yes,38,No,Engineer,1.0,Low,2.0,No,4
460413,Female,No,39,Yes,Artist,7.0,Low,1.0,No,0
464069,Female,Yes,80,Yes,Lawyer,2.0,High,3.0,Yes,3
459496,Female,No,42,Yes,Artist,,Low,3.0,No,0
461076,Male,No,42,Yes,Entertainment,1.0,Low,8.0,No,2
466664,Female,Yes,42,Yes,Doctor,3.0,Average,3.0,Yes,4
467456,Male,Yes,36,No,Executive,7.0,High,4.0,Yes,1
467437,Female,Yes,76,Yes,Lawyer,0.0,High,2.0,Yes,3
464157,Male,Yes,80,Yes,Marketing,2.0,High,3.0,Yes,3
466409,Male,Yes,51,Yes,Artist,0.0,Average,5.0,No,1
465011,Male,Yes,63,Yes,Executive,4.0,High,2.0,Yes,1
459134,Female,Yes,69,Yes,Lawyer,0.0,High,2.0,Yes,3
460813,Female,Yes,86,No,Lawyer,1.0,High,2.0,Yes,3
461092,Female,No,26,Yes,Homemaker,1.0,High,3.0,Yes,0
465282,Female,No,36,Yes,Artist,0.0,Low,3.0,No,0
459831,Male,Yes,37,No,Engineer,8.0,Average,3.0,Yes,1
460895,Female,No,29,Yes,Doctor,9.0,Low,5.0,No,0
464335,Male,Yes,48,Yes,Executive,6.0,High,4.0,Yes,1
466013,Male,No,22,No,Healthcare,2.0,Low,3.0,No,2
459620,Female,Yes,29,No,Marketing,,Low,,No,2
464886,Male,No,36,Yes,Engineer,2.0,Average,4.0,Yes,0
464276,Female,Yes,61,No,Marketing,0.0,High,3.0,Yes,3
467607,Female,No,25,No,Engineer,9.0,Low,1.0,No,0
466097,Female,Yes,74,No,Lawyer,1.0,Low,1.0,No,3
461936,Male,Yes,77,No,Lawyer,2.0,High,1.0,Yes,3
462577,Female,Yes,74,No,Marketing,0.0,High,1.0,Yes,3
465010,Female,No,42,Yes,Marketing,,Low,3.0,No,0
460722,Male,Yes,30,No,Entertainment,1.0,Average,3.0,No,1
462128,Male,Yes,38,Yes,Artist,9.0,Average,2.0,No,1
463502,Male,Yes,41,Yes,Executive,,High,5.0,Yes,1
461917,Male,Yes,79,,Lawyer,1.0,Low,1.0,No,3
459709,Female,Yes,47,Yes,Artist,7.0,Average,4.0,No,4
462649,Female,Yes,30,No,Engineer,,Average,8.0,Yes,4
465190,Female,Yes,47,Yes,Artist,2.0,High,3.0,Yes,4
461652,Female,Yes,53,Yes,Artist,1.0,Average,3.0,No,4
464061,Male,Yes,30,Yes,Artist,12.0,Average,2.0,No,1
459631,Male,,53,Yes,Executive,,High,3.0,Yes,1
465893,Female,Yes,43,Yes,Engineer,0.0,Average,2.0,Yes,4
462497,Male,No,35,Yes,Artist,1.0,Low,2.0,No,0
459278,Male,Yes,67,No,Executive,,High,2.0,Yes,3
460894,Female,Yes,37,No,Executive,5.0,High,3.0,Yes,4
464513,Male,Yes,40,Yes,Executive,4.0,High,2.0,Yes,1
462439,Male,No,18,No,Healthcare,1.0,Low,4.0,No,2
462594,Male,Yes,52,No,Entertainment,,Average,5.0,No,1
466516,Male,No,19,No,Healthcare,0.0,Low,3.0,No,2
466926,Male,No,20,No,Healthcare,0.0,Low,,No,2
459163,Male,No,42,Yes,Entertainment,1.0,Low,1.0,No,0
465002,Female,No,80,Yes,Lawyer,0.0,High,3.0,Yes,3
467861,Female,No,27,No,Artist,,Low,4.0,No,2
462254,Male,Yes,38,No,Executive,1.0,Average,5.0,No,1
464872,Male,Yes,42,Yes,Artist,1.0,Low,4.0,No,1
465427,Male,No,33,Yes,Artist,7.0,Low,1.0,No,0
465058,Female,No,43,,Entertainment,,Low,1.0,No,0
467622,Male,Yes,73,Yes,Lawyer,0.0,High,3.0,Yes,3
459686,Male,Yes,52,Yes,Artist,1.0,Low,1.0,No,1
460320,Male,No,26,No,Artist,11.0,Low,4.0,No,2
466867,Female,No,27,No,Homemaker,14.0,Low,1.0,No,0
461708,Male,Yes,80,No,Lawyer,0.0,High,1.0,Yes,3
461733,Female,Yes,43,Yes,Artist,0.0,High,3.0,Yes,4
464813,Male,Yes,41,Yes,Engineer,7.0,Average,4.0,Yes,1
460827,Male,Yes,81,Yes,Lawyer,9.0,Low,1.0,No,3
460286,Female,No,41,Yes,Artist,4.0,Low,1.0,No,0
461708,Male,Yes,80,No,Lawyer,0.0,High,2.0,Yes,3
462590,Female,No,28,No,Engineer,,Average,2.0,Yes,2
463067,Female,No,42,Yes,Homemaker,7.0,Low,1.0,No,0
467447,Female,Yes,41,Yes,Engineer,,Average,3.0,Yes,4
460452,Female,Yes,37,Yes,Entertainment,0.0,Average,2.0,No,4
465290,Male,Yes,42,Yes,Executive,1.0,High,5.0,Yes,1
462259,Male,Yes,51,Yes,Artist,,Low,2.0,No,1
464187,Female,No,41,No,Engineer,9.0,Low,1.0,No,0
463958,Female,No,25,No,Healthcare,0.0,Low,5.0,No,2
462208,Female,Yes,34,Yes,Engineer,5.0,Average,6.0,Yes,4
467818,Female,Yes,34,Yes,Artist,5.0,High,4.0,Yes,4
461788,Male,Yes,80,Yes,Lawyer,3.0,High,3.0,Yes,3
463387,Male,,20,No,Marketing,3.0,Low,2.0,No,2
467072,Male,Yes,66,No,Executive,0.0,High,4.0,Yes,3
465328,Male,Yes,35,No,Executive,0.0,High,5.0,Yes,1
466473,Female,No,22,No,Healthcare,0.0,Low,3.0,No,2
462185,Male,No,18,No,Doctor,0.0,Low,3.0,No,2
462888,Male,Yes,34,Yes,Executive,,High,4.0,Yes,1
465897,Female,Yes,42,Yes,Artist,9.0,Low,1.0,No,4
459223,Female,Yes,47,Yes,Doctor,1.0,Average,4.0,Yes,4
461492,Male,Yes,70,Yes,Entertainment,8.0,Average,2.0,No,1
463276,Male,Yes,42,No,Executive,,Average,2.0,No,1
462513,Male,No,26,Yes,Artist,,Low,4.0,No,0
467503,Female,No,26,Yes,Artist,1.0,Low,4.0,No,0
462835,Male,Yes,55,No,Engineer,,Average,3.0,Yes,1
465290,Male,No,48,Yes,Executive,1.0,High,4.0,Yes,1
463440,Female,Yes,73,Yes,Artist,0.0,Average,3.0,No,4
461834,Female,No,42,Yes,Artist,7.0,Low,2.0,No,0
464553,Male,Yes,70,Yes,Artist,1.0,Low,2.0,No,1
463263,Female,No,68,Yes,Engineer,1.0,High,3.0,Yes,4
464582,Female,Yes,63,Yes,Marketing,0.0,Low,2.0,No,3
462780,Male,Yes,22,Yes,Healthcare,3.0,High,8.0,Yes,1
467014,Male,Yes,40,Yes,Executive,11.0,High,4.0,Yes,1
466732,Female,Yes,49,Yes,Engineer,0.0,High,2.0,Yes,4
466258,Female,No,29,No,Healthcare,1.0,Low,3.0,No,2
461500,Female,No,26,Yes,Doctor,0.0,Low,3.0,No,0
466985,Female,Yes,45,No,Engineer,2.0,Average,8.0,Yes,4
459108,Male,No,23,No,Healthcare,,Low,5.0,No,2
464299,Female,No,35,Yes,Artist,12.0,Low,3.0,No,0
460957,Male,Yes,48,Yes,Entertainment,1.0,Low,,No,1
460090,Male,Yes,80,No,Lawyer,3.0,Average,1.0,Yes,3
461895,Male,Yes,36,Yes,Entertainment,1.0,Low,2.0,No,1
459000,Female,Yes,63,No,Executive,13.0,High,3.0,Yes,4
459218,Male,No,80,Yes,Lawyer,1.0,High,2.0,Yes,3
465195,Male,No,49,Yes,Executive,0.0,High,3.0,Yes,1
462604,Female,Yes,41,Yes,Doctor,0.0,Average,3.0,Yes,4
461989,Female,,57,Yes,Engineer,0.0,Average,4.0,Yes,4
467683,Male,Yes,24,Yes,Healthcare,9.0,High,3.0,Yes,1
463401,Female,No,18,No,Healthcare,,Low,3.0,No,2
464421,Female,Yes,27,No,Marketing,,High,4.0,Yes,4
464539,Male,Yes,38,No,Executive,2.0,High,2.0,Yes,1
467310,Female,Yes,80,No,Lawyer,0.0,High,3.0,Yes,3
466003,Female,Yes,27,Yes,Marketing,9.0,Low,1.0,No,0
465202,Male,No,27,No,Entertainment,6.0,Low,4.0,No,2
465456,Female,Yes,56,Yes,Artist,3.0,High,4.0,Yes,4
465113,Male,Yes,67,Yes,Lawyer,3.0,High,2.0,Yes,3
460077,Female,No,32,Yes,Artist,,Low,1.0,No,0
465017,Male,Yes,53,No,Executive,1.0,High,3.0,Yes,1
467558,Male,Yes,51,Yes,Doctor,0.0,Average,8.0,Yes,1
464717,Female,Yes,21,No,Executive,4.0,High,7.0,Yes,4
464430,Female,Yes,49,Yes,Engineer,8.0,Average,3.0,Yes,4
463493,Male,Yes,39,Yes,Executive,,High,3.0,Yes,1
459043,Female,Yes,49,No,Engineer,1.0,Low,1.0,No,4
463196,Female,Yes,67,Yes,Engineer,1.0,Low,1.0,No,4
464440,Male,Yes,80,Yes,Lawyer,0.0,High,1.0,Yes,3
461295,Female,Yes,66,Yes,Artist,1.0,Average,3.0,No,4
466045,Female,No,38,No,Entertainment,8.0,Low,2.0,No,0
465079,Male,Yes,75,Yes,Lawyer,1.0,Low,1.0,No,3
462499,Female,,70,No,Lawyer,6.0,Average,1.0,Yes,3
461100,Female,No,32,Yes,Healthcare,,Low,3.0,No,0
462388,Female,Yes,43,Yes,Artist,3.0,High,4.0,Yes,4
459594,Female,Yes,42,Yes,Artist,5.0,Low,1.0,No,4
463140,Male,Yes,33,No,Engineer,3.0,Average,2.0,Yes,1
466432,Male,No,42,Yes,Entertainment,1.0,Low,1.0,No,0
459808,Male,Yes,38,No,Doctor,,Average,4.0,Yes,1
467082,Female,Yes,70,Yes,Artist,0.0,High,3.0,Yes,4
464427,Male,Yes,63,Yes,Doctor,0.0,Average,5.0,Yes,1
459154,Male,Yes,88,Yes,Lawyer,0.0,High,2.0,Yes,3
461118,Female,No,30,Yes,Healthcare,6.0,Low,,No,0
464045,Male,Yes,39,Yes,Artist,0.0,Low,2.0,No,1
462793,Male,Yes,41,No,Executive,5.0,High,6.0,Yes,1
461642,Male,No,41,Yes,Artist,9.0,Low,2.0,No,0
461184,Male,No,19,No,Healthcare,,Low,4.0,No,2
465193,Male,Yes,36,No,Engineer,,Average,,Yes,1
461109,Male,No,31,Yes,Healthcare,0.0,Low,3.0,No,2
464369,Male,Yes,36,Yes,Executive,1.0,High,4.0,Yes,1
464616,Male,Yes,27,No,Entertainment,6.0,Low,4.0,No,1
465472,Female,Yes,80,No,Entertainment,,High,2.0,Yes,3
461826,Male,Yes,35,Yes,Artist,12.0,Average,2.0,No,1
463738,Male,Yes,39,No,Executive,0.0,High,4.0,Yes,1
466075,Female,Yes,45,Yes,Engineer,0.0,Average,3.0,Yes,4
467727,Male,Yes,46,Yes,Artist,8.0,High,5.0,Yes,1
460782,Male,No,78,Yes,Artist,2.0,High,3.0,Yes,1
465349,Female,Yes,53,Yes,Artist,1.0,High,4.0,Yes,4
464166,Male,No,31,Yes,Artist,5.0,Low,2.0,No,0
465531,Female,No,40,Yes,Homemaker,9.0,Low,,No,0
464013,Male,No,27,No,Healthcare,0.0,Low,1.0,No,2
464006,Male,No,32,No,Healthcare,0.0,Low,5.0,No,2
464912,Male,,36,Yes,Doctor,,Average,2.0,Yes,1
459737,Female,Yes,80,Yes,Lawyer,10.0,High,2.0,Yes,3
463205,Female,No,25,No,Doctor,0.0,Low,4.0,No,2
465106,Male,Yes,48,Yes,Executive,0.0,High,3.0,Yes,1
460353,Male,No,31,Yes,,6.0,Low,1.0,No,0
462339,Male,No,33,Yes,Artist,3.0,Low,5.0,No,0
464915,Male,Yes,41,Yes,Executive,,High,3.0,Yes,1
462306,Male,Yes,79,No,Lawyer,8.0,High,2.0,Yes,3
464985,Female,Yes,71,Yes,Lawyer,0.0,High,2.0,Yes,3
460983,Male,Yes,38,No,Doctor,0.0,High,4.0,Yes,1
463688,Female,No,52,Yes,Doctor,1.0,Low,1.0,No,0
463614,Female,No,26,No,Healthcare,1.0,Low,4.0,No,2
465937,Female,No,30,Yes,Healthcare,9.0,Low,3.0,No,0
463527,Female,No,35,No,Artist,13.0,Low,1.0,No,0
466381,Male,Yes,52,Yes,Artist,2.0,Average,2.0,No,1
464348,Male,No,43,Yes,Artist,1.0,Low,2.0,No,0
459853,Male,No,30,No,Executive,5.0,Low,5.0,No,2
461053,Male,Yes,37,No,Executive,,High,5.0,Yes,1
462345,Male,Yes,46,Yes,Doctor,1.0,Average,6.0,Yes,1
459653,Female,No,25,Yes,,8.0,Low,1.0,No,0
467215,Female,Yes,78,Yes,Lawyer,1.0,High,2.0,Yes,3
467633,Male,Yes,49,No,Entertainment,0.0,Low,1.0,No,1
460863,Male,Yes,66,Yes,Artist,0.0,Low,5.0,No,1
463110,Male,Yes,68,No,Executive,1.0,High,2.0,Yes,3
463992,Male,Yes,39,Yes,Artist,0.0,Average,2.0,No,1
466362,Male,Yes,67,Yes,Lawyer,1.0,High,1.0,Yes,3
460608,Male,No,19,No,Healthcare,6.0,Low,8.0,No,2
466372,Female,Yes,60,Yes,Artist,1.0,Average,5.0,No,4
463233,Male,Yes,50,No,Executive,0.0,Average,5.0,No,1
465354,Male,No,18,No,Doctor,0.0,Low,5.0,No,2
460894,Male,Yes,38,No,Executive,5.0,High,3.0,Yes,1
466229,Male,Yes,61,No,Executive,0.0,High,1.0,Yes,3
462359,Male,Yes,51,Yes,Entertainment,0.0,Low,3.0,No,1
462913,Female,No,25,Yes,Artist,4.0,Low,5.0,No,0
464416,Male,Yes,38,Yes,Artist,1.0,Low,6.0,No,1
467148,Male,No,28,Yes,Artist,,Low,1.0,No,0
464236,Female,Yes,65,No,Artist,0.0,High,1.0,Yes,4
459252,Male,Yes,68,Yes,Lawyer,0.0,High,3.0,Yes,3
464533,Male,Yes,37,No,Executive,,High,6.0,Yes,1
459672,Male,Yes,47,No,Artist,3.0,Average,3.0,No,1
465205,Male,Yes,48,Yes,Entertainment,0.0,Low,2.0,No,1
461359,Male,Yes,28,Yes,Healthcare,1.0,Low,4.0,No,1
466485,Male,Yes,34,Yes,Executive,10.0,High,3.0,Yes,1
465097,Male,Yes,79,No,Lawyer,3.0,High,2.0,Yes,3
460222,Female,,74,No,Lawyer,3.0,High,,Yes,3
459373,Male,No,31,Yes,Healthcare,,Low,4.0,No,2
462380,Female,Yes,57,No,Artist,3.0,High,5.0,Yes,4
466002,Male,Yes,48,Yes,Doctor,0.0,High,2.0,Yes,1
463032,Female,Yes,77,No,Lawyer,0.0,High,1.0,Yes,3
466493,Male,Yes,77,No,Lawyer,0.0,High,2.0,Yes,3
463410,Female,Yes,40,No,Doctor,,Average,3.0,Yes,4
467007,Female,Yes,33,No,Engineer,0.0,High,1.0,Yes,4
464667,Female,Yes,51,No,Engineer,4.0,Low,2.0,No,4
460795,Male,Yes,61,Yes,Artist,1.0,Average,3.0,No,1
459217,Female,Yes,63,No,Lawyer,1.0,Average,4.0,Yes,3
467631,Male,Yes,74,Yes,Lawyer,2.0,High,2.0,Yes,3
467382,Male,Yes,36,Yes,Doctor,9.0,Average,2.0,Yes,1
466255,Male,Yes,45,Yes,Entertainment,0.0,Low,4.0,No,1
461894,Female,Yes,66,Yes,Artist,0.0,Average,2.0,No,4
460065,Female,Yes,79,Yes,Artist,,Average,2.0,No,4
459793,Male,Yes,37,Yes,Artist,2.0,High,,Yes,1
463749,Male,No,23,No,Healthcare,1.0,Low,4.0,No,2
463064,Male,Yes,36,No,Executive,11.0,High,2.0,Yes,1
459808,Male,Yes,33,No,Doctor,,Average,4.0,Yes,1
464455,Female,Yes,72,Yes,Lawyer,3.0,High,1.0,Yes,3
467133,Female,Yes,68,Yes,Lawyer,2.0,High,,Yes,3
466535,Male,No,26,Yes,Artist,8.0,Low,1.0,No,0
461869,Male,Yes,87,Yes,Lawyer,0.0,Low,1.0,No,3
461296,Female,No,80,Yes,Lawyer,0.0,High,1.0,Yes,3
460165,Female,No,40,Yes,Entertainment,0.0,Low,1.0,No,0
465174,Female,Yes,68,Yes,Entertainment,3.0,High,2.0,Yes,4
463475,Female,Yes,36,Yes,Doctor,0.0,Low,1.0,No,4
467447,Female,Yes,36,Yes,Engineer,,Average,2.0,Yes,4
461048,Male,Yes,33,Yes,Doctor,10.0,Average,2.0,Yes,1
463863,Male,Yes,35,Yes,Artist,0.0,Average,2.0,No,1
461752,Male,Yes,67,Yes,Doctor,1.0,Average,3.0,Yes,1
462247,Female,Yes,45,No,Artist,2.0,High,5.0,Yes,4
461743,Male,Yes,65,Yes,Doctor,3.0,High,2.0,Yes,1
465793,Male,No,25,No,Healthcare,1.0,Low,5.0,No,2
459869,Female,No,23,No,Healthcare,1.0,Low,3.0,No,2
460190,Female,No,30,Yes,Entertainment,9.0,Low,3.0,No,0
462241,Female,No,28,No,Entertainment,1.0,Low,4.0,No,2
459409,Male,Yes,80,Yes,Lawyer,2.0,High,2.0,Yes,3
464325,Male,Yes,30,No,Healthcare,5.0,High,3.0,Yes,1
462372,Female,Yes,60,No,Lawyer,,High,1.0,Yes,3
467767,Female,No,23,No,Marketing,4.0,Low,4.0,No,2
467690,Female,Yes,71,No,Lawyer,,High,3.0,Yes,3
464190,Male,No,37,Yes,Executive,3.0,Low,1.0,No,0
466610,Male,No,19,No,Marketing,0.0,Low,5.0,No,2
464908,Male,Yes,73,Yes,Entertainment,5.0,Low,1.0,No,1
465190,Female,Yes,44,Yes,Artist,2.0,High,4.0,Yes,4
461773,Male,Yes,68,Yes,Entertainment,1.0,High,4.0,Yes,1
466954,Female,Yes,69,No,Doctor,8.0,Average,1.0,Yes,4
463079,Female,No,35,No,Marketing,,Low,,No,2
467521,Male,No,19,No,Healthcare,7.0,Low,3.0,No,2
462950,Female,No,29,Yes,Doctor,0.0,Low,5.0,No,2
461431,Male,Yes,42,Yes,Doctor,1.0,Average,2.0,Yes,1
463533,Female,No,80,Yes,Artist,0.0,High,2.0,Yes,4
466210,Female,Yes,64,Yes,Artist,1.0,High,4.0,Yes,4
463422,Male,Yes,36,No,Executive,,High,5.0,Yes,1
459258,Female,Yes,77,Yes,Lawyer,0.0,High,,Yes,3
463138,Female,No,28,No,Homemaker,,Low,,No,2
460355,Female,No,40,Yes,Entertainment,5.0,Low,1.0,No,0
465190,Female,Yes,48,Yes,Artist,1.0,High,4.0,Yes,4
463056,Male,Yes,43,Yes,Homemaker,,Average,2.0,No,1
467889,Male,Yes,61,Yes,Executive,0.0,High,2.0,Yes,3
459107,Male,Yes,55,Yes,Artist,1.0,Low,2.0,No,1
462974,Male,Yes,66,Yes,Lawyer,0.0,Low,1.0,No,3
461683,Female,Yes,47,Yes,Executive,3.0,High,3.0,Yes,4
464294,Male,Yes,68,Yes,Executive,3.0,High,3.0,Yes,1
464241,Female,Yes,89,,Artist,1.0,High,2.0,Yes,4
462342,Female,Yes,73,Yes,Lawyer,10.0,High,3.0,Yes,3
462931,Male,Yes,40,No,Entertainment,14.0,Average,3.0,No,1
459066,Male,Yes,50,Yes,Executive,6.0,High,5.0,Yes,1
462716,Male,No,33,No,Entertainment,6.0,Low,2.0,No,2
459894,Female,Yes,35,Yes,Healthcare,1.0,Low,3.0,No,4
